FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,ADTJan2009-Dec2009,ADTJan2010-Dec2010,ADTJan2011-Dec2011,ADTJan2012-Dec2012,ADTJan2013-Dec2013,ADTJan2014-Dec2014,ADTJan2015-Dec2015,ADTJan2016-Dec2016,ADTJan2017-Dec2017,ADTJan2018-Dec2018,CollisionsJan2009-Dec2009,CollisionsJan2010-Dec2010,CollisionsJan2011-Dec2011,CollisionsJan2012-Dec2012,CollisionsJan2013-Dec2013,CollisionsJan2014-Dec2014,CollisionsJan2015-Dec2015,CollisionsJan2016-Dec2016,CollisionsJan2017-Dec2017,CollisionsJan2018-Dec2018,LnAvgADT,LnLength,SumCollisions,Offset,Offset2,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,Site_ID.1,Location_D.1,Direction.1,Speed_Limi.1,Ward.1,Neighbourh.1,Neighbou_1.1,Latitude.1,Longitude.1,Interventi.1,Enforcemen.1,Site_ID.2,Location_D.2,Direction.2,Speed_Limi.2,Ward.2,Neighbourh.2,Neighbou_1.2,Latitude.2,Longitude.2,Interventi.2,Enforcemen.2,avgADT,speed_osm,lanes_osm
Arterial-Class A (Primary Highway Truck Route),MANNING DR [SB-S] NW,S,2,1,0,1,0,0,1009.03,Mid138,SBD,12988.04062,13235.05672,13482.07282,13570,13182,15194,16564,12881,13156.34599,13345.74436,0,0,0,0,0,1,5,1,0,2,9.52950847,6.916744752,9,2.302585093,9.219329845,1159.314398,1335.73168,0,,,,,,,,53.61056471,-113.4080477,,,,,,,,,,,,,,,,,,,,,,,,,13759.82605,60,2
Arterial-Class A (Primary Highway Truck Route),MANNING DR [SB-S] NW,S,2,1,0,1,0,0,4265.9,Mid143,SBD,7343.75,8586.5,9829.25,11072,12712,14352,15992,12879,13154.30324,13343.6722,9,5,4,2,6,7,4,5,2,5,9.386513696,8.358408458,49,2.302585093,10.66099355,1584.238963,2895.313322,0,,,,,,,,53.64444397,-113.3906011,,,,,,,,,,,,,,,,,,,,,,,,,11926.44754,60,2
Arterial-Class A (Primary Highway Truck Route),MARK MESSIER TR [NB-S] NW,N,1,0,0,0,0,0,337.109,Mid150,NBD,21177.46289,21580.23145,21983,18516,18211,18550,17467,17666,18043.63079,18303.38638,11,8,6,3,5,6,7,2,2,1,9.860046044,5.82040632,51,2.302585093,8.122991413,1402.423637,2442.637526,0,,,,,,,,53.60085442,-113.5761396,,,,,,,,,,,,,,,,,,,,,,,,,19149.77115,60,5
Arterial-Class A (Primary Highway Truck Route),SHERWOOD PARK FWY [EB-S],E,3,1,0,1,0,0,4101.81,Mid167,EBD,21426.75,20983.5,20540.25,20097,20548,18844,17176.5,15509,15840.52247,16068.56217,2,1,0,0,0,0,0,0,0,0,9.836461057,8.319183619,3,2.302585093,10.62176871,2467.247876,2361.35459,0,,,,,,,,53.51607302,-113.3635978,,,,,,,,,,,,,,,,,,,,,,,,,18703.40846,60,2
Arterial-Class A (Primary Highway Truck Route),SHERWOOD PARK FWY [WB-S],W,3,1,0,1,0,0,4176.77,Mid169,WBD,22522.5,22026,21529.5,21033,20654,19742,18127,16512,16864.96273,17107.75025,0,1,0,0,0,0,0,0,0,0,9.88389034,8.3372935,1,2.302585093,10.63987859,2450.027992,2348.882003,0,,,,,,,,53.5162498,-113.3630448,,,,,,,,,,,,,,,,,,,,,,,,,19611.8713,100,3
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [NB-S] NW,N,3,1,0,0,0,0,347.972,Mid172,NBD,21136.9115,21538.90882,21940.90614,22084,23393,24702,24965,25228,25767.27712,26138.2221,2,3,0,0,1,1,2,2,2,1,10.07278392,5.852122017,14,2.302585093,8.15470711,807.1205219,1507.639997,0,,,,,,,,53.58416988,-113.5593601,,,,,,,,,,,,,,,,,,,,,,,,,23689.42257,60,3
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [NB-S] NW,N,3,1,0,0,0,0,691.1,Mid174,NBD,19907.04741,20285.65427,20664.26113,20799.02899,21735.38194,22336.45627,22772.28286,22884,23373.17146,23709.65096,3,6,3,1,1,1,1,2,0,0,9.991804863,6.538284531,18,2.302585093,8.840869624,681.9248342,1517.472225,0,,,,,,,,53.58822768,-113.5632174,,,,,,,,,,,,,,,,,,,,,,,,,21846.69353,50,2
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [NB-S] NW,N,3,1,0,0,0,0,332.827,Mid175,NBD,20464.25,20387.5,20310.75,20234,21053,21872,22241.5,22611,23094.33578,23426.80117,2,7,6,2,8,3,5,7,4,2,9.979036194,5.807622835,46,2.302585093,8.110207928,1073.385263,2061.408448,0,,,,,,,,53.59625585,-113.5717114,,,,,,,,,,,,,,,,,,,,,,,,,21569.51369,50,2
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [SB-S] NW,S,3,1,0,0,0,0,347.182,Mid185,SBD,21590.58366,22001.20925,22411.83484,22558,23629,24700,24352,24004,24517.11273,24870.06038,4,9,1,2,4,2,6,2,2,3,10.06319619,5.849849138,35,2.302585093,8.152434231,825.0794348,1523.51552,0,,,,,,,,53.58408085,-113.559586,,,,,,,,,,,,,,,,,,,,,,,,,23463.38009,60,3
Arterial-Class A (Primary Highway Truck Route),ST ALBERT TR [SB-S] NW,S,3,1,0,0,0,0,690.401,Mid186,SBD,18771.81333,19128.82947,19485.84561,19612.9281,20495.88389,21062.68091,21473.65373,21579,22040.27561,22357.56678,2,4,1,4,0,2,3,1,1,0,9.933087506,6.537272588,18,2.302585093,8.839857681,697.5486215,1539.129812,0,,,,,,,,53.5881386,-113.5634297,,,,,,,,,,,,,,,,,,,,,,,,,20600.84774,50,2
